frame,original,ocr_result,confidence,is_different
393,28 40,28,1.0,True
394,28 40,28,1.0,True
395,28 40,28,1.0,True
396,28 40,28,0.999999915706304,True
397,28 40,28,1.0,True
398,28 40,28,1.0,True
399,28 40,28,0.999999915706304,True
400,28 40,28,0.999999915706304,True
401,28 40,28,0.999999915706304,True
402,28 40,28,0.999999915706304,True
403,28 40,28,0.999999915706304,True
404,28 40,28,0.999999915706304,True
405,28 40,28,0.999999915706304,True
406,28 40,28,0.999999915706304,True
407,28 40,28,0.999999915706304,True
408,28 40,28,0.999999915706304,True
409,28 40,28,1.0,True
410,28 40,28,0.999999915706304,True
411,28 40,28,1.0,True
412,28 40,28,0.999999915706304,True
413,28 40,28,1.0,True
414,28 40,28,0.999999915706304,True
415,28 40,28,0.999999915706304,True
416,28 40,28,0.999999915706304,True
417,28 40,28,1.0,True
418,28 40,28,1.0,True
419,28 40,28,1.0,True
420,28 40,28,1.0,True
421,28 40,28,1.0,True
422,28 40,28,1.0,True
423,28 40,28,1.0,True
424,28 40,28,1.0,True
425,28 40,28,1.0,True
426,28 40,28,1.0,True
427,28 40,28,1.0,True
428,28 40,28,1.0,True
429,28 40,28,1.0,True
430,28 40,28,1.0,True
431,28 40,28,1.0,True
432,28 40,28,1.0,True
433,28 40,28,1.0,True
434,28 40,28,1.0,True
435,28 40,28,1.0,True
436,28 40,28,1.0,True
437,28 40,28,1.0,True
438,28 40,28,1.0,True
439,28 40,28,1.0,True
440,28 40,28,1.0,True
441,28 40,28,1.0,True
442,28 40,28,1.0,True
443,28 40,28,1.0,True
444,28 40,28,1.0,True
445,28 40,28,1.0,True
446,28 40,28,1.0,True
447,28 40,28,1.0,True
448,28 40,28,1.0,True
449,28 40,28,1.0,True
450,28 40,28,1.0,True
451,28 40,28,1.0,True
452,28 40,28,1.0,True
453,28 40,28,1.0,True
454,28 40,28,1.0,True
455,28 40,28,1.0,True
456,28 40,28,1.0,True
457,28 40,28,1.0,True
458,28 40,28,1.0,True
459,28 40,28,1.0,True
460,28 40,28,1.0,True
461,28 40,28,1.0,True
462,28 40,28,1.0,True
463,28 40,28,1.0,True
464,28 40,28,1.0,True
465,28 40,28,1.0,True
466,28 40,28,1.0,True
467,28 40,28,1.0,True
468,28 40,28,1.0,True
469,28 40,28,1.0,True
470,28 40,28,1.0,True
471,28 40,28,1.0,True
472,28 40,28,1.0,True
473,28 40,28,1.0,True
474,28 40,28,1.0,True
475,28 40,28,1.0,True
476,28 40,28,1.0,True
477,28 40,28,1.0,True
478,28 40,28,1.0,True
479,28 40,28,1.0,True
480,28 40,28,1.0,True
481,28 40,28,1.0,True
482,28 40,28,1.0,True
483,28 40,28,1.0,True
484,28 40,28,1.0,True
485,28 40,28,1.0,True
486,28 40,28,1.0,True
487,28 40,28,1.0,True
488,28 40,28,1.0,True
489,28 40,28,1.0,True
490,28 40,28,1.0,True
491,28 40,28,1.0,True
492,28 40,28,1.0,True
493,28 40,28,1.0,True
494,28 40,28,1.0,True
495,28 40,28,1.0,True
496,28 40,28,1.0,True
497,28 40,28,1.0,True
498,28 40,28,1.0,True
499,28 40,28,1.0,True
500,28 40,28,1.0,True
501,28 40,28,1.0,True
502,28 40,28,1.0,True
503,28 40,28,1.0,True
504,28 40,28,1.0,True
505,28 40,28,1.0,True
506,28 40,28,1.0,True
507,28 40,28,1.0,True
508,28 40,28,1.0,True
509,28 40,28,1.0,True
510,28 40,28,1.0,True
511,28 40,28,1.0,True
512,28 40,28,1.0,True
513,28 40,28,1.0,True
514,28 40,28,1.0,True
515,28 40,28,1.0,True
516,28 40,28,1.0,True
517,28 40,28,1.0,True
518,28 40,28,1.0,True
519,28 40,28,1.0,True
520,28 40,28,1.0,True
521,28 40,28,1.0,True
522,28 40,28,1.0,True
523,28 40,28,1.0,True
524,28 40,28,1.0,True
525,28 40,28,1.0,True
526,28 40,28,1.0,True
527,28 40,28,1.0,True
528,28 40,28,1.0,True
529,28 40,28,1.0,True
530,28 40,28,1.0,True
531,28 40,28,1.0,True
532,28 40,28,1.0,True
533,28 40,28,1.0,True
534,28 40,28,1.0,True
535,28 40,28,1.0,True
536,28 40,28,1.0,True
537,28 40,28,1.0,True
538,28 40,28,1.0,True
539,28 40,28,1.0,True
540,28 40,28,1.0,True
541,28 40,28,1.0,True
542,28 40,28,1.0,True
543,28 40,28,1.0,True
544,28 40,28,1.0,True
545,28 40,28,1.0,True
546,28 40,28,1.0,True
547,28 40,28,1.0,True
548,28 40,28,1.0,True
549,28 40,28,1.0,True
550,28 40,28,1.0,True
551,28 40,28,1.0,True
552,28 40,28,1.0,True
553,28 40,28,1.0,True
554,28 40,28,1.0,True
555,28 40,28,1.0,True
556,28 40,28,1.0,True
557,28 40,28,1.0,True
558,28 40,28,1.0,True
559,28 40,28,1.0,True
560,28 40,28,1.0,True
561,28 40,28,1.0,True
562,28 40,28,1.0,True
563,28 40,28,1.0,True
564,28 40,28,1.0,True
565,28 40,28,1.0,True
566,28 40,28,1.0,True
567,28 40,28,1.0,True
568,28 40,28,1.0,True
569,28 40,28,1.0,True
570,28 40,28,1.0,True
571,28 40,28,1.0,True
572,28 40,28,1.0,True
573,28 40,28,1.0,True
574,28 40,28,1.0,True
575,28 40,28,1.0,True
576,28 40,28,1.0,True
577,28 40,28,1.0,True
578,28 40,28,1.0,True
579,28 40,28,1.0,True
580,28 40,28,1.0,True
581,28 40,28,1.0,True
582,28 40,28,1.0,True
583,28 40,28,1.0,True
584,28 40,28,1.0,True
585,28 40,28,1.0,True
586,28 40,28,1.0,True
587,28 40,28,1.0,True
588,28 40,28,1.0,True
589,28 40,28,1.0,True
590,28 40,28,1.0,True
